ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ,,,,,,
79,65101002457,คลินิกแพทย์จอมขวัญ,น.ส.จอมขวัญ ฆะสันต์,น.ส.จอมขวัญ ฆะสันต์,145/166 ม.1 ต.สมอแข อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์จอมขวัญ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B8%82%E0%B8%A7%E0%B8%B1%E0%B8%8D/422775067877571,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.165.320.320a/p320x320/72462260_175542550244116_3441120131038576640_o.jpg?_nc_cat=101&_nc_eui2=AeEQfhcrUtxZxAdOCs6u2CqiYt5pbdwfcgxXy0v359DUaMPIOFbpf0MCaN0ra7AOS88WF4INOUK5jIF1og9VA5CEjSofY4fxwoeAPZOCwWzdIQ&_nc_oc=AQk7Kq1NmHCJ7KCB4rATBlQVJqVYYckj4jTtEMGHY7z9QWXlO3L0b7ahURbBqS3osLiKI4k1XBC6hfDMWh33VPl0&_nc_ht=scontent.fphs2-1.fna&oh=4b075637dbc8bb286f1e118fd8438b33&oe=5E1D1AC3,16/10/2019,เพจไม่เป็นทางการ,,78,,,,
80,65101002657,คลินิกแพทย์หญิงฐิติกาญจน์,น.ส.ฐิติกาญจน์  ผสมบุญ,น.ส.ฐิติกาญจน์  ผสมบุญ,555/7 ถ.ศรีถมอรัตน์ ม.4 ต.อรัญญิก อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,79,,,,
81,65101000358,คลินิกแพทย์นนท์,นายนนท์  โสวัณณะ,นายนนท์  โสวัณณะ,399/15 ถ.สีหราชเดโชชัย ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์นนท์,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%99%E0%B8%99%E0%B8%97%E0%B9%8C/133208810551884,,19/4/2019,เพจไม่เป็นทางการ,,80,,,,
82,65101000458,คลินิกแพทย์หญิงธิติมา 2,น.ส.ธิติมา  เงินมาก,น.ส.ธิติมา  เงินมาก,99/55 ม.8 ต.บึงพระ อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,81,,,,
83,65101000658,คลินิกเวชกรรมนายแพทย์วิโรจน์,นายวิโรจน์  ชนม์สูงเนิน,นายวิโรจน์  ชนม์สูงเนิน,9 ถ.พระร่วง ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,82,,,,
84,65101000758,คลินิกแพทย์บดินทร์,นายบดินทร์  บุตรธรรม,นายบดินทร์  บุตรธรรม,261/49 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิคแพทย์บดินทร์,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C/111281275695470,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/11751961_852265021533328_3908327517362527573_n.jpg?_nc_cat=102&_nc_eui2=AeGn3GQUbCpBYeI0_9HQe_2i0fIAHOr1hyZZXOTygKGvYtrNv55frEzBm2l1Vweb9jN9HLn8v5UdpP-C-uccLjmLbksOCweHSa-dgMiF3-2bxQ&_nc_oc=AQm7Aly5jKIPLFQ6ZjxDgkm1xvwmKBZI856BJFeMV54A6zNXqAJPITtgRFknmdMubK1-j5uUIBjjWXFoyskzWhdC&_nc_ht=scontent.fphs2-1.fna&oh=f1716bd2cffc9df24619f767c763fa61&oe=5E16D2ED,17/10/2019,เพจไม่เป็นทางการ,,83,,,,
85,65101000858,คลินิกแพทย์อดิศักดิ์-แพทย์สุมาพร,น.ส.สุมาพร  ตรีวัชรานนท์,น.ส.สุมาพร  ตรีวัชรานนท์,115/3-4 ม.5 ต.พลายชุมพล อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกตาแพทย์สุมาพร,รักษาโรคตาทั่วไป ต้อหิน ต้อกระจก ต้อเนื้อ โดยจักษุแพทย์เฉพาะทาง,095 313 7588,https://www.facebook.com/Eyeloveyouclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/62223385_2860333460675852_1036731871767035904_n.jpg?_nc_cat=102&_nc_oc=AQlV2R1OL5pYzXXFLXRi9IZ3PkmvYUrK6L1ze6C_tEUD3Mk0gKO6XyCQP93DPGlvO2E4J0AXuSwAbvEbBbBObPAE&_nc_ht=scontent.fphs2-1.fna&oh=caed738d67af80fd7d5330a84277600e&oe=5DE160F3,11/7/2019,เพจทางการ,,84,,,,
86,65101001058,คลินิกแพทย์พุฒิรักษ์,นายพุฒิรักษ์  รักษ์ย่อง,นายพุฒิรักษ์  รักษ์ย่อง,3/3 ม.2 ต.พรหมพิราม อ.พรหมพิราม จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์พุฒิรักษ์,,062 926 7928,https://www.facebook.com/Puttirakclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/23319243_247294852468114_5119658475927819969_n.jpg?_nc_cat=105&_nc_eui2=AeEvhCWS_ejn-A0kS-HSNZerWSjn6YK2YUjUifaxHcnyK1mNyEEoVRrwGEZsAWK052qPAVMc1eG2MvtHnLQ3Jv6e-Ujn1pElU-6GD_hoT0O05g&_nc_oc=AQnoK4hVpaVgaXYQ-wpxKc1-XVlaSJXkPVO9dy2_xlUEzwsDrKK2mULZphnE3bzaZ_hFqkFy4tnC8LcaaY3fRacL&_nc_ht=scontent.fphs2-1.fna&oh=4c11df64293e9be3be95da32a61192ed&oe=5E63ABE5,20/10/2018,เพจทางการ,,85,,,,
87,65101001158,คลินิกเวชกรรมนายแพทย์เชิดศักดิ์,นายรชฏ  จันทร์กระจ่าง,นายเชิดศักดิ์  ศิริวัฒน์,488 ม.1 ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,,28-มี.ค.-61,เวชกรรม,,,,,,,,,86,,,,
88,65101001358,คลินิกแพทย์หญิงโนรี-นายแพทย์สานิต,นางโนรี  แซ่ลิ้ม,นางโนรี  แซ่ลิ้ม,57/5-6 ถ.พระองค์ดำ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-303451,,เวชกรรม,,,,,,,,,87,,,,
89,65101001458,คลินิกเวชกรรมพบแพทย์,น.ส.สุภาภรณ์  บุศยาจารย์,น.ส.สุภาภรณ์  บุศยาจารย์,30 ม.13 ต.นครไทย อ.นครไทย จ.พิษณุโลก,,,เวชกรรม,พบแพทย์คลินิก - นครไทย,"คลินิกเวชกรรมพบแพทย์ อำเภอนครไทย บริการ ตรวจโรคทั่วไป ผิวหนัง เด็ก ผู้ใหญ่ ตรวจเลือด 
คลินิ",086 202 0172,https://www.facebook.com/Phobphatclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/49129644_1971999979762917_4690535871315705856_o.jpg?_nc_cat=101&_nc_oc=AQkg4U-nZ16-65uQHaLjl61w4fPrIXU-Ht18DO3n3wxKxAVD4sTTnsHE4B7Rux-BSHPyB9fG4WQOMtqKNEfFkYRT&_nc_ht=scontent.fphs2-1.fna&oh=e1c2b1e79e2b3e464a3181529757fd2d&oe=5DEB74D6,21/8/2019,เพจทางการ,,88,,,,
90,65101000459,อิสรินทร์คลินิกเวชกรรม,นายอิสรินทร์  ผลมั่ง,นายอิสรินทร์  ผลมั่ง,68/31 ถ.เอกาทศรฐ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-006793,,เวชกรรม,อิสรินทร์ คลินิก,,,https://www.facebook.com/%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-1677026475873764/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/35972680_2073561046220303_6823159525177032704_n.jpg?_nc_cat=102&_nc_eui2=AeEaf_LlxfIiYKGqnVxBDAFY92NPqbUkW76hT8WTOZg9uCt0fB3Io0LB2YW7D8AP8cAf8kmuPc7PYipBbUIl2HjiljgDmZcLyV2A1l4wjz9m7A&_nc_oc=AQlphERQGGRVkVXLkIvl3d4x9zH1c7TuGHoM6JibZ6ZQfp2FVx2E7cHRephACyEH6YqnXLvS6Rg3SLRV2Bb7UT0q&_nc_ht=scontent.fphs2-1.fna&oh=c1d36607b59425546324b9825a330705&oe=5E21F917,24/12/2018,เพจทางการ,,89,,,,
91,65101000559,คลินิกเวชกรรมแพทย์หญิงกนกนันท์,น.ส.กนกนันท์  อินทับทิม,น.ส.กนกนันท์  อินทับทิม,147/6 ถ.ไชยานุภาพ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกเวชกรรมแพทย์หญิงกนกนันท์,รับตรวจโรคทั่วไป โรคทางจิตเวช และรับตรวจประกันสังคมของโรงพยาบาล​พุทธ​ชินราช​,091 843 1478,https://www.facebook.com/kanoknanmedical/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/20729185_126422647977666_2319220146868950576_n.jpg?_nc_cat=105&_nc_eui2=AeEDu99lB37SJR2FhP6sufZ_0VJkjfnXcrT-CwHw64CFrSAAelXUFo0tMXO_XKbs6EJCOyJl1dEhCuSbK-B3_Vgu3eFP9zgH_0nRe8ImxW_mqQ&_nc_oc=AQlrMcKB_HcVTiflm10qbk-W-N22Bh0VF5rZwNOld4eP91D8H7vZfaTAva2DWSXozY0LFKIpEwCmMuzG13no78k4&_nc_ht=scontent.fphs2-1.fna&oh=2fed1111e0da05620111678d2e8c1f4b&oe=5E611258,7/7/2019,เพจทางการ,,90,,,,
92,65101000659,คลินิกแพทย์วสันต์-แพทย์สอางค์,นางสอางค์  ด่านสว่าง,นางสอางค์  ด่านสว่าง,29/78 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกวสันต์-สอางค์การแพทย์,,055 252 927,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B8%AA%E0%B8%AD%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C/1708693996044958,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/1910632_504954479701013_5099277691515183243_n.jpg?_nc_cat=106&_nc_eui2=AeHAmkUxYdABoTfKJHquVvIMmWZQZnt1RDQQop_8z_aztkGe6xD5K9pdI7d0yYMw7g0FIqBDJUYAQuSSec_quMa5QOv1kjZxwilcjdKsm3gv3g&_nc_oc=AQmoRnGYgWB-wbX1VvNkrxcvlpP71s_LPQASPBYJjdVumjyXcZlvtmh3F-ImAbYok701DBovkEhY1o51V954daDf&_nc_ht=scontent.fphs2-1.fna&oh=2239e609fd4309126d81346d7d529fae&oe=5E5F9FD6,7/10/2019,เพจไม่เป็นทางการ,,91,,,,
93,65101000759,คลินิกแพทย์สมหมาย,พ.ต.สมหมาย  จันทรักษา,พ.ต.สมหมาย  จันทรักษา,83 ม.6 ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,92,,,,
94,65101000859,คลินิกเวชกรรมฟ้าใส,น.ส.มิตทิรา  พันธุ์ภักดี,น.ส.มิตทิรา  พันธุ์ภักดี,26/16 ถ.ธรรมบูชา ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกฟ้าใสการแพทย์ พิษณุโลก,,055 053 246,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%83%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81-1586977584875470/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/16143203_1813199698919923_4099566034119359349_n.jpg?_nc_cat=108&_nc_oc=AQkBszDzN80cBHOOpFjwVW3kxr7kWxhBELw2TiqGRDxG2ts5g1ipqdL7Z8D7NnqWfd4RgqgnV2YUGR8arkCYVBGE&_nc_ht=scontent.fphs2-1.fna&oh=900430e3908202cff8dea007eebea33f&oe=5DE975C2,15/10/2019,เพจทางการ,,93,,,,
95,65101000959,คลินิกเวชกรรมนายแพทย์โชคชัย,บริษัทเซตต้าไพรซ์ จำกัด,นายโชคชัย  เดชะวิกรม,7/100 ถ.พระร่วง ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกเวชกรรม นายแพทย์โชคชัย Advanced laser Clinic,"คลินิกเสริมความงาม 
Botox, Filler, Laser, รักษาสิว, รักษาฝ้า, รักษากระ, เพิ่มความขาวใสให้ใบหน้า",055 052 044,https://www.facebook.com/AdvancedPhitsanulok/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22853130_1963079400615798_8425078606668965383_n.jpg?_nc_cat=100&_nc_eui2=AeHXYCbSnLN4Un2LfAG1FdvaMFuwHIgACcftDRkYdJ5iJ0d-MbMmv3shjOGGh4gqxYU1uCq2q9xoviMy3wGP6yPBMLuHjChyw6I8altzmihJdQ&_nc_oc=AQne_Up79U5ZwOohz0Rf5x09_ukqvaXM2YfAHi0HwyxagJ6X-mzPATVIA7WwvL5Awj8B68FlvWB0a9ZpJfun5oOr&_nc_ht=scontent.fphs2-1.fna&oh=ef935b7e907a00d426bcab12472f0a44&oe=5E1CE271,14/10/2019,เพจทางการ,,94,,,,
96,65101001059,คลินิกเวชกรรมแพทย์เอนก,นายเอนก  สุภาพ,นายเอนก  สุภาพ,15/6 ม.3 ต.วังพิกุล อ.วังทอง จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,95,,,,
97,65101001159,คลินิกเวชกรรมนายแพทย์รัฐศาสตร์,นายรัฐศาสตร์  พุ่มรส,นายรัฐศาสตร์  พุ่มรส,245/7 ม.6 ต.หัวรอ อ.เมือง จ.พิษณุโลก,, 24 พ.ค.61,เวชกรรม,คลินิกเวชกรรมนายแพทย์รัฐศาสตร์,"ตรวจรักษาโรคทั่วไปเด็ก ผู้ใหญ่
เย็บแผล ฉีดยา พ่นยา ให้น้ำเกลือ
รับประกันสังคม รพ.พุทธ",091 843 4929,https://www.facebook.com/ruttasatclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/14632975_1599434770362419_328237977371366175_n.jpg?_nc_cat=110&_nc_eui2=AeGMUktbvkVnltxcQwmx_XTy5kZlytK_jx5bH4WJjrgc_gsDmU5zMT5Sx-lk-7ccFmzsbEGl8G8vfVnz9NZA_MixiNqaY2wfUNfjsghp4wqaUw&_nc_oc=AQm0XdBhhPQdasvH_Wu0HsjsiYlG4DHf3rqPWl0MZ-jOeWZteT3WlNFne3hXULVP9sczU6n4MaZ9ffB1x_UH7VD5&_nc_ht=scontent.fphs2-1.fna&oh=3dfceb452d56664ea9bafa654510b100&oe=5E1B99CC,10/7/2019,เพจทางการ,,96,,,,
98,65101001259,คลินิกเวชกรรมแพทย์ศุภัชญา,น.ส.ศุภัชญา  สุขกายะ,น.ส.ศุภัชญา  สุขกายะ,182/16  ม.4 ต.บางกระทุ่ม อ.บางกระทุ่ม จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,97,,,,
99,65101000560,คลินิกเวชกรรมแพทย์หญิงฐิติกาญจน์,น.ส.ฐิติกาญจน์  ผสมบุญ,น.ส.ฐิติกาญจน์  ผสมบุญ,52 ม.5 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์หญิงฐิติกาญจน์ - หมอต้นปาล์ม,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%8D%E0%B8%88%E0%B8%99%E0%B9%8C-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%9B%E0%B8%B2%E0%B8%A5%E0%B9%8C%E0%B8%A1/936462919716847,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/15622190_1533032963390777_5681162315082151369_n.jpg?_nc_cat=103&_nc_eui2=AeEMF2yAy4sYxHRvlyh-yVJN1N8_tPN1f5HhFaV-dEX4H2wDFEIDzNP58i-KB1-ZcYkPOZkAEzY4ZxImx_NnJ1vcVuwuElaQipzgUwTCkMjgYA&_nc_oc=AQkfSwO-2opIGkiqrauS9qnO4h4Yzt9Rv3rEwORxg0vivdC-OYuxs0_hsYaj38fIar1iBVbtze1aaPGFszd6o2HP&_nc_ht=scontent.fphs2-1.fna&oh=54fb5d81303ff48dd15dd7d8655c0548&oe=5E225469,8/9/2018,เพจไม่เป็นทางการ,,98,,,,
100,65101000760,ศิริพรคลินิกเวชกรรม,นางศิริพร  สุขสุทธิพันธ์,นางศิริพร  สุขสุทธิพันธ์,209/32 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-242974,,เวชกรรม,คลีนิกหมอศิริพร,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%9E%E0%B8%A3/431950446882637,,8/9/2019,เพจไม่เป็นทางการ,,99,,,,
101,65101000960,เฮอร์แอนด์ฮีสคลินิกเวชกรรม,บ.เฮอร์แอนด์ฮีสจำกัด(น.ส.อลิษา อ่อนทอง),นายภูศิษฏ์ เรืองวาณิชยกุล,199/184 ม.3 ต.พลายชุมพล อ.เมือง จ.พิษณุโลก,055-055191,,เวชกรรม,Her & His Clinic,คลินิกเวชกรรมและศัลยกรรมความงาม โดยทีมแพทย์ผู้เชี่ยวชาญ สาขาพิษณุโลก,055 055 919,https://www.facebook.com/herandhisclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/15391241_1821234338095011_8756639740364026340_n.jpg?_nc_cat=100&_nc_eui2=AeGJrLarw45g6eJE_L8F5ywx8oMsTRPIFySrXAx1yR02NElo-GJ40m7x9s1DyzgbHy0L6pxFjh2CT68Yd3CztNfJtNvD7vzPNwYuV4UJbQZbag&_nc_oc=AQncXajZa8FEH8lPpy-DpC--XOLs1Ok2lDSSCC2SAWC88gHJhsk1LBrbPdBPr23jgjobAso0HfKMaeyNiDrRePj7&_nc_ht=scontent.fphs2-1.fna&oh=3d37101bf6c4a638121001a7652b0e99&oe=5E27B742,18/10/2019,เพจทางการ,,100,,,,
102,65101001060,เอ็ม เมดคลินิกเวชกรรมพิษณุโลก,บ.เอ็มเมดกรุ๊ปโฮลดิ้งจำกัด(นางสกุลตา ทองสง่า),นายกันตภณ  โฆษิตานุฤทธิ์,192/1 ม.2 ต.บ้านคลอง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,M Med Clinic Phisanulok เอ็มเมดคลินิกพิษณุโลก,,,https://www.facebook.com/mmedphisanulok/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/36430082_1739216749507992_8296739877899206656_n.png?_nc_cat=104&_nc_eui2=AeFu4NSaTpEwaCsitt7gau5auaK7IAGm_E-r_G5tZMiBe8TfXWpDMCJhDEoHF4Lrz_fYV8EeRG8r0eKPfzH2uY87bb5aoFBW7nd33nk6A447SQ&_nc_oc=AQm6AfXAK3ydav4zdKjsZHPK75kMJLkOvMZAG3kdM-6V8cCCpZJcgU5ZTUWjUVjBkwTuq3MFVwviFzfQC2EAGJ1-&_nc_ht=scontent.fphs2-1.fna&oh=b176cada41c50d501bbd9fe790bbbcda&oe=5E194593,18/10/2019,เพจทางการ,,101,,,,
103,65101001160,หมออาร์คลินิกเวชกรรม,นายอาวุธ  บัวองค์,นายอาวุธ  บัวองค์,30/380 ซ.1 ถ.พระลือ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-381474,,เวชกรรม,หมออาร์ คลินิกรักษาผิว สิว ฝ้า กระ ผมร่วง แผลเป็น,"ดูแลผิวใส เพิ่มความสวย ปรับผิวตึงกระชับ 
ปรึกษาหมออาร์คลินิก มั่นใจในแพทย์ผู้เชี่ยวชาญ",096 661 9289,https://www.facebook.com/drrclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22814153_516012518757730_4406202637354329807_n.jpg?_nc_cat=104&_nc_eui2=AeHObDJ85WKyzVBKxqxb-FD88Uot2JYIaC93FUtngo-KJ5pEkXuDdKGdGvMcAY7Cs5xtPu30qw5FZPG93yOvtxDfnUe5Oox0fSyxLFja9yppNQ&_nc_oc=AQn3lQR2pSgE1L6xHs1ILWuYsQ6KVhIV2WiwFpppvp_DAA62MVFGaduMPsvujsQvrl_VUT0oTttpNsaJ2aqG8xGz&_nc_ht=scontent.fphs2-1.fna&oh=5f96aa31e2fe6615cae55b2c38917f82&oe=5E2CB1DA,13/10/2019,เพจทางการ,,102,,,,
104,65101001260,ธีร์คลินิกเวชกรรม,นายธนาธิป  ทองบุดดา,นส.ปรียาฉัตร วันจันทร์,"28/36,38 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก",,,เวชกรรม,ธีร์ คลินิกเวชกรรม,,,https://www.facebook.com/pages/%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B9%8C-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%A7%E0%B8%8A%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1/1800443820268689,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/20729710_1520954147971026_4315861266788260843_n.jpg?_nc_cat=109&_nc_eui2=AeEWxB22kmXqNwtpkg2KiOHnGyKsCFTd7uq0g2T6prwtlQ8P2YIT_Qdi5h-0hwsDGO9bgOjaN0HB1DZRX4KwYGe0P7tsnil_K8jLe5uHHz-hOw&_nc_oc=AQnToMc9gwyCy_b61-q3MUBuBcuRl2IK1QLQBWJw-r5TX8Bg27XUC1O2_PLZqHioX5lc-bdfuXPpoi8JRfpi2c_Y&_nc_ht=scontent.fphs2-1.fna&oh=ac2521e1eb89bc8ca1569f61ff799ced&oe=5E16CF92,14/10/2019,เพจไม่เป็นทางการ,,103,,,,
105,65101001460,คลินิกเวชกรรมหมอจอมขวัญ,น.ส.จอมขวัญ ฆะสันต์,น.ส.จอมขวัญ ฆะสันต์,341/2 ม.8 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์จอมขวัญ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B8%82%E0%B8%A7%E0%B8%B1%E0%B8%8D/422775067877571,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.165.320.320a/p320x320/72462260_175542550244116_3441120131038576640_o.jpg?_nc_cat=101&_nc_eui2=AeEQfhcrUtxZxAdOCs6u2CqiYt5pbdwfcgxXy0v359DUaMPIOFbpf0MCaN0ra7AOS88WF4INOUK5jIF1og9VA5CEjSofY4fxwoeAPZOCwWzdIQ&_nc_oc=AQk7Kq1NmHCJ7KCB4rATBlQVJqVYYckj4jTtEMGHY7z9QWXlO3L0b7ahURbBqS3osLiKI4k1XBC6hfDMWh33VPl0&_nc_ht=scontent.fphs2-1.fna&oh=4b075637dbc8bb286f1e118fd8438b33&oe=5E1D1AC3,16/10/2019,เพจไม่เป็นทางการ,,104,,,,
106,65101001560,ราชเทวีคลินิกเวชกรรม สาขาพิษณุโลก,บ.ซีเอฟเซ็นทรัลพิษณุโลกคลินิก จำกัด(นายสมพงษ์  ดีอนันต์ลาภและนายพงษ์ศักดิ์  เอี่ยมศิริกิจ),น.ส.ชาลิสา  สุขทับศรี,17/59-60 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,ราชเทวีคลินิก สาขาพิษณุโลก - Rajdhevee Clinic Phitsanulok,รักษาสิว รอยสิว ฝ้า กระ แผลเป็น ด่างขาว ขน ปรับแต่งรูปหน้า และใช้แนวทาง Homeostasis ดูแลดุลยภาพผิว,088 088 1225,https://www.facebook.com/RCPhitsanulok/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/56521051_378123936125089_7580842664438792192_n.jpg?_nc_cat=109&_nc_oc=AQkSb4wVZO_p9orSLURdaw0MRlk3RwOg6sLgo8YGvYJc89bExlFnPpmOUxPLIvjBThlEK_6ys4WDjgWpRcu0OGNJ&_nc_ht=scontent.fphs2-1.fna&oh=721b31e5d4b1a809d593eebf773cc34c&oe=5DDCDF93,18/10/2019,เพจทางการ,,105,,,,
107,65101000561,คลินิกเวชกรรมแพทย์หญิงวิจิตรา,น.ส.วิจิตรา  ใจแก้ว,น.ส.วิจิตรา  ใจแก้ว,90 ม.11 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,,,106,,,,
