ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ
85,65101000858,คลินิกแพทย์อดิศักดิ์-แพทย์สุมาพร,น.ส.สุมาพร  ตรีวัชรานนท์,น.ส.สุมาพร  ตรีวัชรานนท์,115/3-4 ม.5 ต.พลายชุมพล อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกตาแพทย์สุมาพร,รักษาโรคตาทั่วไป ต้อหิน ต้อกระจก ต้อเนื้อ โดยจักษุแพทย์เฉพาะทาง,095 313 7588,https://www.facebook.com/Eyeloveyouclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/62223385_2860333460675852_1036731871767035904_n.jpg?_nc_cat=102&_nc_oc=AQlV2R1OL5pYzXXFLXRi9IZ3PkmvYUrK6L1ze6C_tEUD3Mk0gKO6XyCQP93DPGlvO2E4J0AXuSwAbvEbBbBObPAE&_nc_ht=scontent.fphs2-1.fna&oh=caed738d67af80fd7d5330a84277600e&oe=5DE160F3,11/7/2019,เพจทางการ
86,65101001058,คลินิกแพทย์พุฒิรักษ์,นายพุฒิรักษ์  รักษ์ย่อง,นายพุฒิรักษ์  รักษ์ย่อง,3/3 ม.2 ต.พรหมพิราม อ.พรหมพิราม จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์พุฒิรักษ์,,062 926 7928,https://www.facebook.com/Puttirakclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t31.0-8/23213235_247294852468114_5119658475927819969_o.jpg?_nc_cat=105&_nc_oc=AQmdZllt6G-Z4k8Bg2wF9leWXUIo9XL269Po8Q7X0DdGWtQCtQs0w0t7Pe3IFyOr4meb1s1m8vi9_g7epS0Hg7F7&_nc_ht=scontent.fphs2-1.fna&oh=5c1fe14f0598f806fcb8ccced14fa90c&oe=5DAAE2FF,12/4/2018,เพจทางการ
87,65101001158,คลินิกเวชกรรมนายแพทย์เชิดศักดิ์,นายรชฏ  จันทร์กระจ่าง,นายเชิดศักดิ์  ศิริวัฒน์,488 ม.1 ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,,28-มี.ค.-61,เวชกรรม,,,,,,,
88,65101001358,คลินิกแพทย์หญิงโนรี-นายแพทย์สานิต,นางโนรี  แซ่ลิ้ม,นางโนรี  แซ่ลิ้ม,57/5-6 ถ.พระองค์ดำ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-303451,,เวชกรรม,,,,,,,
89,65101001458,คลินิกเวชกรรมพบแพทย์,น.ส.สุภาภรณ์  บุศยาจารย์,น.ส.สุภาภรณ์  บุศยาจารย์,30 ม.13 ต.นครไทย อ.นครไทย จ.พิษณุโลก,,,เวชกรรม,พบแพทย์คลินิก - นครไทย,"คลินิกเวชกรรมพบแพทย์ อำเภอนครไทย บริการ ตรวจโรคทั่วไป ผิวหนัง เด็ก ผู้ใหญ่ ตรวจเลือด 
คลินิ",086 202 0172,https://www.facebook.com/Phobphatclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/49129644_1971999979762917_4690535871315705856_o.jpg?_nc_cat=101&_nc_oc=AQkg4U-nZ16-65uQHaLjl61w4fPrIXU-Ht18DO3n3wxKxAVD4sTTnsHE4B7Rux-BSHPyB9fG4WQOMtqKNEfFkYRT&_nc_ht=scontent.fphs2-1.fna&oh=e1c2b1e79e2b3e464a3181529757fd2d&oe=5DEB74D6,20/7/2019,เพจทางการ
90,65101000459,อิสรินทร์คลินิกเวชกรรม,นายอิสรินทร์  ผลมั่ง,นายอิสรินทร์  ผลมั่ง,68/31 ถ.เอกาทศรฐ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-006793,,เวชกรรม,อิสรินทร์ คลินิก,,,https://www.facebook.com/%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-1677026475873764/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/35972680_2073561046220303_6823159525177032704_n.jpg?_nc_cat=102&_nc_oc=AQmvsHfNGKNmBdxJRRJy5d5HI_wtf_8GbPrjMvy1E0pFumEsRGCtNxTVvx8vFiw0DbB0tUclgApAY8pka9CObAw2&_nc_ht=scontent.fphs2-1.fna&oh=bd83c770e3d67c787dac797b9bab1cd8&oe=5DAB5217,22/7/2018,เพจทางการ
91,65101000559,คลินิกเวชกรรมแพทย์หญิงกนกนันท์,น.ส.กนกนันท์  อินทับทิม,น.ส.กนกนันท์  อินทับทิม,147/6 ถ.ไชยานุภาพ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกเวชกรรมแพทย์หญิงกนกนันท์,รับตรวจโรคทั่วไป โรคทางจิตเวช และรับตรวจประกันสังคมของโรงพยาบาล​พุทธ​ชินราช​,091 843 1478,https://www.facebook.com/kanoknanmedical/,https://scontent.fphs2-1.fna.fbcdn.net/v/t31.0-8/20748252_126422647977666_2319220146868950576_o.jpg?_nc_cat=105&_nc_oc=AQm3b_SDuFEzW2xy5P5Xkd05wde62PDHlJE78pdrCXt_Rvx2vrp2S4yRGty58rENfqpUZHzD9B0PZVJWdSG5M69A&_nc_ht=scontent.fphs2-1.fna&oh=3d54f7138593b42c1fe8e01668473673&oe=5DE2D3D5,7/7/2019,เพจทางการ
92,65101000659,คลินิกแพทย์วสันต์-แพทย์สอางค์,นางสอางค์  ด่านสว่าง,นางสอางค์  ด่านสว่าง,29/78 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกวสันต์-สอางค์การแพทย์,,055 252 927,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B8%AA%E0%B8%AD%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C/1708693996044958,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c124.0.320.320a/p320x320/57821698_2271240182935231_5978221492482080768_n.jpg?_nc_cat=109&_nc_oc=AQmmazv_vWv4Ta3XpIYFu6eItKYH9cHamE5tFav3bIF1zzkZ4R8yOs8wjK6dZ_BPKcSYwlSPPIxb9QLnYq1T9HMw&_nc_ht=scontent.fphs2-1.fna&oh=2af692131a606d69a47517956da15af6&oe=5DED1CB9,13/7/2019,เพจไม่เป็นทางการ
93,65101000759,คลินิกแพทย์สมหมาย,พ.ต.สมหมาย  จันทรักษา,พ.ต.สมหมาย  จันทรักษา,83 ม.6 ต.ป่าแดง อ.ชาติตระการ จ.พิษณุโลก,,,เวชกรรม,,,,,,,
94,65101000859,คลินิกเวชกรรมฟ้าใส,น.ส.มิตทิรา  พันธุ์ภักดี,น.ส.มิตทิรา  พันธุ์ภักดี,26/16 ถ.ธรรมบูชา ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกฟ้าใสการแพทย์ พิษณุโลก,,055 053 246,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%83%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81-1586977584875470/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/16143203_1813199698919923_4099566034119359349_n.jpg?_nc_cat=108&_nc_oc=AQkBszDzN80cBHOOpFjwVW3kxr7kWxhBELw2TiqGRDxG2ts5g1ipqdL7Z8D7NnqWfd4RgqgnV2YUGR8arkCYVBGE&_nc_ht=scontent.fphs2-1.fna&oh=900430e3908202cff8dea007eebea33f&oe=5DE975C2,10/7/2019,เพจทางการ
95,65101000959,คลินิกเวชกรรมนายแพทย์โชคชัย,บริษัทเซตต้าไพรซ์ จำกัด,นายโชคชัย  เดชะวิกรม,7/100 ถ.พระร่วง ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกเวชกรรม นายแพทย์โชคชัย Advanced laser Clinic,"คลินิกเสริมความงาม 
Botox, Filler, Laser, รักษาสิว, รักษาฝ้า, รักษากระ, เพิ่มความขาวใสให้ใบหน้า",055 052 044,https://www.facebook.com/AdvancedPhitsanulok/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22853130_1963079400615798_8425078606668965383_n.jpg?_nc_cat=100&_nc_oc=AQniJG4UnJbgSk7V73S3IRd1cACrSBKtjZ4svgKYG_d2M3xWeRJXTCpTtbLGZAd3zo-IT556BeiFgPUapgiam7tr&_nc_ht=scontent.fphs2-1.fna&oh=350f7476da5f238ad58e205a3a0da88f&oe=5DA63B71,16/7/2019,เพจทางการ
96,65101001059,คลินิกเวชกรรมแพทย์เอนก,นายเอนก  สุภาพ,นายเอนก  สุภาพ,15/6 ม.3 ต.วังพิกุล อ.วังทอง จ.พิษณุโลก,,,เวชกรรม,,,,,,,
97,65101001159,คลินิกเวชกรรมนายแพทย์รัฐศาสตร์,นายรัฐศาสตร์  พุ่มรส,นายรัฐศาสตร์  พุ่มรส,245/7 ม.6 ต.หัวรอ อ.เมือง จ.พิษณุโลก,, 24 พ.ค.61,เวชกรรม,คลินิกเวชกรรมนายแพทย์รัฐศาสตร์,"ตรวจรักษาโรคทั่วไปเด็ก ผู้ใหญ่
เย็บแผล ฉีดยา พ่นยา ให้น้ำเกลือ
รับประกันสังคม รพ.พุทธ",091 843 4929,https://www.facebook.com/ruttasatclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/14632975_1599434770362419_328237977371366175_n.jpg?_nc_cat=110&_nc_oc=AQmZW0_bCLxnZYQIgHxk46C0CJoznO57kOh1NhKqHT3BRMtQtVYkufh_B-PuVVtQjrKhqcPDoIJjVyjCguqIr9gg&_nc_ht=scontent.fphs2-1.fna&oh=0bc5d6765270b55a6fde150bec04f0e3&oe=5DA4F2CC,10/7/2019,เพจทางการ
98,65101001259,คลินิกเวชกรรมแพทย์ศุภัชญา,น.ส.ศุภัชญา  สุขกายะ,น.ส.ศุภัชญา  สุขกายะ,182/16  ม.4 ต.บางกระทุ่ม อ.บางกระทุ่ม จ.พิษณุโลก,,,เวชกรรม,,,,,,,
99,65101000560,คลินิกเวชกรรมแพทย์หญิงฐิติกาญจน์,น.ส.ฐิติกาญจน์  ผสมบุญ,น.ส.ฐิติกาญจน์  ผสมบุญ,52 ม.5 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์หญิงฐิติกาญจน์ - หมอต้นปาล์ม,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87%E0%B8%90%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%8D%E0%B8%88%E0%B8%99%E0%B9%8C-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%9B%E0%B8%B2%E0%B8%A5%E0%B9%8C%E0%B8%A1/936462919716847,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/1959841_945877622106317_4718455887825894745_n.jpg?_nc_cat=105&_nc_oc=AQkMg8EzisuNPM5UGiPhKDRlUn1AGGIOzsfEeWlW8pjgIaGGG5b2O2oZUR9kHhjGCQjNDvXMusyd0NdV8cs5kp8A&_nc_ht=scontent.fphs2-1.fna&oh=353ad3b9e474e74771d234e379159188&oe=5DAEAF66,3/11/2018,เพจไม่เป็นทางการ
100,65101000760,ศิริพรคลินิกเวชกรรม,นางศิริพร  สุขสุทธิพันธ์,นางศิริพร  สุขสุทธิพันธ์,209/32 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก ,055-242974,,เวชกรรม,คลีนิกหมอศิริพร,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%9E%E0%B8%A3/431950446882637,,27/6/2019,เพจไม่เป็นทางการ
101,65101000960,เฮอร์แอนด์ฮีสคลินิกเวชกรรม,บ.เฮอร์แอนด์ฮีสจำกัด(น.ส.อลิษา อ่อนทอง),นายภูศิษฏ์ เรืองวาณิชยกุล,199/184 ม.3 ต.พลายชุมพล อ.เมือง จ.พิษณุโลก,055-055191,,เวชกรรม,Her & His Clinic,คลินิกเวชกรรมและศัลยกรรมความงาม โดยทีมแพทย์ผู้เชี่ยวชาญ สาขาพิษณุโลก,055 055 919,https://www.facebook.com/herandhisclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/15391241_1821234338095011_8756639740364026340_n.jpg?_nc_cat=100&_nc_oc=AQnnFYpLlv9ItU2GM4GckiBryGgyGW_QlERGHVwTK2IrxKStcyoUGHyZ_lP19kAhhRv3r-ohnWzuCfbI0XdCU-Bl&_nc_ht=scontent.fphs2-1.fna&oh=b2032ccd9d7459b36eb182040eb6f3ae&oe=5DB11042,25/7/2019,เพจทางการ
102,65101001060,เอ็ม เมดคลินิกเวชกรรมพิษณุโลก,บ.เอ็มเมดกรุ๊ปโฮลดิ้งจำกัด(นางสกุลตา ทองสง่า),นายกันตภณ  โฆษิตานุฤทธิ์,192/1 ม.2 ต.บ้านคลอง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,M Med Clinic Phisanulok เอ็มเมดคลินิกพิษณุโลก,,,https://www.facebook.com/mmedphisanulok/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/36329571_1739216746174659_6775547952980033536_o.png?_nc_cat=102&_nc_oc=AQnhqoeHhH2CYEVYixPRRGQ0jy2U8FCb12Rkv7rSj02Ba7EOvm8zaGCjFhwtcc3SApDT_jgik2sSWq-YznZJf4tR&_nc_ht=scontent.fphs2-1.fna&oh=7185637adbb4462a688970f17965021c&oe=5DDCF12E,27/7/2019,เพจทางการ
103,65101001160,หมออาร์คลินิกเวชกรรม,นายอาวุธ  บัวองค์,นายอาวุธ  บัวองค์,30/380 ซ.1 ถ.พระลือ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-381474,,เวชกรรม,หมออาร์ คลินิกรักษาผิว สิว ฝ้า กระ ผมร่วง แผลเป็น,"ดูแลผิวใส เพิ่มความสวย ปรับผิวตึงกระชับ 
ปรึกษาหมออาร์คลินิก มั่นใจในแพทย์ผู้เชี่ยวชาญ",096 661 9289,https://www.facebook.com/drrclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/22814153_516012518757730_4406202637354329807_n.jpg?_nc_cat=104&_nc_oc=AQmMSvvILlNOy5UU2yVzc6b37luHTbrd0Y_6k_uNK-071X4XBOJ2iZly9O7DxNyQnTBaH4FeRSfl36KVgQEuvxMl&_nc_ht=scontent.fphs2-1.fna&oh=11f0e67c7744069cfb46e8d05a1fbddf&oe=5DDD97DA,16/7/2019,เพจทางการ
104,65101001260,ธีร์คลินิกเวชกรรม,นายธนาธิป  ทองบุดดา,นส.ปรียาฉัตร วันจันทร์,"28/36,38 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก",,,เวชกรรม,ธีร์ คลินิกเวชกรรม,,,https://www.facebook.com/pages/%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B9%8C-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%A7%E0%B8%8A%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1/1800443820268689,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/20729710_1520954147971026_4315861266788260843_n.jpg?_nc_cat=109&_nc_oc=AQn23cJOisyrMLGzACwhMNZ064Gdib_mjhh-L7bH3uXp7eyxWvA9HjZ2-JXxQqFZvj2bUpR9VdeJIhpTQuyoqWJ1&_nc_ht=scontent.fphs2-1.fna&oh=414a4d4622e7e4fdd4f3a7ece490b147&oe=5DA02892,30/6/2019,เพจไม่เป็นทางการ
105,65101001460,คลินิกเวชกรรมหมอจอมขวัญ,น.ส.จอมขวัญ ฆะสันต์,น.ส.จอมขวัญ ฆะสันต์,341/2 ม.8 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์จอมขวัญ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B8%82%E0%B8%A7%E0%B8%B1%E0%B8%8D/422775067877571,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c53.0.320.320a/p320x320/51527993_1175837499249027_6169504582633259008_n.jpg?_nc_cat=103&_nc_oc=AQmZh4IwIwaKDNNj0AWu5uxuOhbNWlgtyZqh6YBswROcp82W27MAMhmQedQcZr7vxKk9P-Bueg2YF3fU6Dpcv7Sb&_nc_ht=scontent.fphs2-1.fna&oh=c4f7fd2dd7beb8cae73b436adfdd83b1&oe=5DA76982,27/7/2019,เพจไม่เป็นทางการ
106,65101001560,ราชเทวีคลินิกเวชกรรม สาขาพิษณุโลก,บ.ซีเอฟเซ็นทรัลพิษณุโลกคลินิก จำกัด(นายสมพงษ์  ดีอนันต์ลาภและนายพงษ์ศักดิ์  เอี่ยมศิริกิจ),น.ส.ชาลิสา  สุขทับศรี,17/59-60 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,ราชเทวีคลินิก สาขาพิษณุโลก - Rajdhevee Clinic Phitsanulok,รักษาสิว รอยสิว ฝ้า กระ แผลเป็น ด่างขาว ขน ปรับแต่งรูปหน้า และใช้แนวทาง Homeostasis ดูแลดุลยภาพผิว,088 088 1225,https://www.facebook.com/RCPhitsanulok/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/56521051_378123936125089_7580842664438792192_n.jpg?_nc_cat=109&_nc_oc=AQkSb4wVZO_p9orSLURdaw0MRlk3RwOg6sLgo8YGvYJc89bExlFnPpmOUxPLIvjBThlEK_6ys4WDjgWpRcu0OGNJ&_nc_ht=scontent.fphs2-1.fna&oh=721b31e5d4b1a809d593eebf773cc34c&oe=5DDCDF93,27/7/2019,เพจทางการ
107,65101000561,คลินิกเวชกรรมแพทย์หญิงวิจิตรา,น.ส.วิจิตรา  ใจแก้ว,น.ส.วิจิตรา  ใจแก้ว,90 ม.11 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,
108,65101000661,บีแคร์คลินิกเวชกรรม,น.ส.สุภาพร  บุตรศรีคุ้ย,น.ส.วรินยุพา  ภักดีโต,59/16-17 ถ.ศรีธรรมฯ ต.ในเมือง อ.เมือง จ.พิษณุโลก,055-000855,,เวชกรรม,บีแคร์ คลินิก สาขาปทุมทอง พิษณุโลก,ศูนเลเซอร์ ผิวพรรณ รูปร่างและเส้นผม ครบวงจร,055 000 855,https://www.facebook.com/becareclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/13439198_1824292564465860_5773525538894630025_n.jpg?_nc_cat=105&_nc_oc=AQm7qmcBeVuRsKbUIcfJvTVfhOP_wXu_GYqsYfeFix1Z7aBrP3w0mCWM6kCnUpHSJS5FGIyynoEPwGyxLbffD-Dv&_nc_ht=scontent.fphs2-1.fna&oh=2b17090e3bfacd124c32a479784a95dd&oe=5DE73688,26/7/2019,เพจทางการ
109,65101000761,คลินิกเวชกรรมทีพอยท์คลินิกสาขาพิษณุโลก,นายภิญโญ   ธรรมสุข,นายเจษฎา  จันทร์คฤหาสน์,242/11-12 ถ.บรมไตรฯ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,T-point clinic สาขาพิษณุโลก,,091 031 7484,https://www.facebook.com/T-point-clinic-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9E%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8%E0%B9%82%E0%B8%A5%E0%B8%81-1531609153612525/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p480x480/34727528_1531610963612344_6330915114383835136_n.jpg?_nc_cat=108&_nc_oc=AQl1M0RFAVKaZwNHeDt31ErB-4KhwwU9FHx1PKlCIAR79_AWrDxBfv0fNMnpX86Uxa-EXpX3C9-sYYzQlOYae1O9&_nc_ht=scontent.fphs2-1.fna&oh=9dda03792ffe1f2a698f3edbed9dd964&oe=5DE388C3,6/7/2019,เพจทางการ
110,65101000861,คลินิกเวชกรรมนายแพทย์รัฐศาสตร์,นายรัฐศาสตร์  พุ่มรส,นายรัฐศาสตร์  พุ่มรส,"73/6,73/7 ม.11 ต.หัวรอ อ.เมือง จ.พิษณุโลก",,,เวชกรรม,คลินิกเวชกรรมนายแพทย์รัฐศาสตร์,"ตรวจรักษาโรคทั่วไปเด็ก ผู้ใหญ่
เย็บแผล ฉีดยา พ่นยา ให้น้ำเกลือ
รับประกันสังคม รพ.พุทธ",091 843 4929,https://www.facebook.com/ruttasatclinic/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/14632975_1599434770362419_328237977371366175_n.jpg?_nc_cat=110&_nc_oc=AQmZW0_bCLxnZYQIgHxk46C0CJoznO57kOh1NhKqHT3BRMtQtVYkufh_B-PuVVtQjrKhqcPDoIJjVyjCguqIr9gg&_nc_ht=scontent.fphs2-1.fna&oh=0bc5d6765270b55a6fde150bec04f0e3&oe=5DA4F2CC,10/7/2019,เพจทางการ
111,65101000961,คลินิกเวชกรรมแพทย์พรจิตร,นางพรจิตร มีทวน,นางพรจิตร มีทวน,101/1 ม.7 ต.วัดจันทร์ อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,
112,65101001061,คลินิกเวชกรรมนายแพทย์กิตติพิชญ์,นายกิตติพิชญ์  อุลิศ,นายกิตติพิชญ์  อุลิศ,21/1 ม.5 ต.บ้านกร่าง อ.เมือง จ.พิษณุโลก 65000,,,เวชกรรม,คลินิกนายแพทย์กิตติพิชญ์-หมอต้น,,095 643 6648,https://www.facebook.com/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%B4%E0%B8%8A%E0%B8%8D%E0%B9%8C-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%99-766481847024445/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/47178798_766498677022762_567504955217281024_n.jpg?_nc_cat=101&_nc_oc=AQknuywOHhGzYCc34e-6MgjqqR2yxxQW7k6MjyGcJPBhJAvwpMginnpIkbXp0XLjUxt5XPNTZK0kF_ecx-icv6fE&_nc_ht=scontent.fphs2-1.fna&oh=1088e39788d0976677d755225c78a4fc&oe=5DE17C00,16/7/2019,เพจทางการ
113,65101001161,แรบบิทคลินิกเวชกรรม,นายภูวดล พลพวก,นายภูวดล พลพวก,38/18 ถนน เอกาทศรฐ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เวชกรรม,Rabbit clinic เสริมจมูก จัดฟัน โบทอกซ์ ร้อยไหม ฉีดผิวขาวใส พิษณุโลก,เสริมจมูก ร้อยไหม โบทอกซ์ จัดฟัน,089 642 9592,https://www.facebook.com/rabbitclinics/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/37689829_509193019522989_8053111654784696320_n.jpg?_nc_cat=102&_nc_oc=AQnQEGVF9emfUcVDBaWqO5Rzyw98d3oE_vZ7hOyZ9NBkbg-u2n-asCB2PcPtLCcuRfuJD-5cx3F3WTiOtzlQ2kbp&_nc_ht=scontent.fphs2-1.fna&oh=6c63d88f74920e7378049751447f8c38&oe=5DAD4067,22/7/2019,เพจทางการ
114,65101001261,คลินิกเวชกรรมแพทย์ชวลิต(หมอจุ้ย),นายเชาวลิต คุ้มจุ้ย,นายเชาวลิต คุ้มจุ้ย,705/1 ถนน บรมไตรโลกนารถ2 ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เวชกรรม,,,,,,,
115,65101001562,น้ำเพชรคลินิกเวชกรรม,นายศราวุธ กันทะวงศ์,นางสาวชลดา วิรัตกพันธ์,33/35 ห้อง 103 ซอย 1 ถนน พระลือ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เวชกรรม,,,,,,,
116,65101001662,นาราคลินิกเวชกรรม,นางสาวสิรีรัศมิ์ แก้ววิสูตรกุล,นางสาวชลดา วิรัตกพันธ์,95/18 ถนน ศรีถมอรัตน์ ตำบล ในเมือง อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เวชกรรม,,,,,,,
117,65101001762,มอนอคลินิกเวชกรรม,นางสาวภคมน มีส้ม,นางสาวมัณฑนัส พีระพัฒน์ชัย,335/34 หมู่ 7 ตำบล ท่าโพธิ์ อำเภอ เมืองพิษณุโลก จังหวัด พิษณุโลก รหัสไปรษณีย์ 65000,,,เวชกรรม,,,,,,,
